country,region,year,co2_emissions_mt,gdp_per_capita_usd,renewable_energy_pct,fossil_fuel_pct,solar_energy_pct,wind_energy_pct,hydro_energy_pct,nuclear_energy_pct,aqi_index,temp_anomaly_c,industrial_waste_mt,health_cost_pct_gdp,population_millions
Argentina,South America,2000,143.35,14416.111343031085,2.8760090513460455,97.12399094865395,0.005030370595140522,0.0072375526809349425,0.008690760100734003,2.8550503679692363,140.68435409723307,0.0061656953766942,1.139166030883789,3.0306801268421295,37.21
Argentina,South America,2001,135.0,13684.2460987385,2.8552221176429384,97.14477788235706,0.008284223148085254,0.0029956243329985572,0.006324704348693172,2.8376175658131615,125.44810022169587,0.006241955794394,1.130917739868164,2.3826395168581227,37.62
Argentina,South America,2002,124.93,12110.609356195853,2.591595933151112,97.40840406684889,0.006385660978530491,0.002706266545489929,0.008367969600637227,2.574136036026454,128.3188357783285,0.0063501927070319,1.1658631134033204,2.763311556089431,38.03
Argentina,South America,2003,134.42,13093.390906344302,2.6165249541570006,97.383475045843,0.005749334679995702,0.004309993381806981,0.007675974934324809,2.5987896511608732,127.52083098862857,0.0064810961484909,1.2398936462402343,3.384729629159823,38.42
Argentina,South America,2004,157.24,14177.337495947217,2.529562631622511,97.47043736837749,0.0033188804770219837,0.005001669740911404,0.010197582465367047,2.511044498939211,134.30392358188914,0.0066346116364002,1.2518741607666015,2.617559939414159,38.82
Argentina,South America,2005,161.73,15326.35586562346,2.654579574607169,97.34542042539283,0.003482779309477421,0.006744795165484007,0.010133426816168257,2.6342185733160393,135.47668645726196,0.0067941402085125,1.2306153869628906,2.785619098317789,39.22
Argentina,South America,2006,174.34,16462.94871530451,2.636078631815849,97.36392136818415,0.0029423045696063887,0.006238519314797792,0.00815545047221853,2.6187423574592263,137.60933110330438,0.0069570122286677,1.254551773071289,2.480332172554453,39.62
Argentina,South America,2007,173.76,17860.643216429755,2.8056316118080957,97.1943683881919,0.007665973963768607,0.005307709069410873,0.007445241938202425,2.7852126868367137,150.82698919334683,0.007078337483108,1.2257025146484377,2.9676071758741642,40.02
Argentina,South America,2008,187.6,18482.946432517532,2.5813756719497007,97.4186243280503,0.005684783006665056,0.0039940421110220845,0.01281422736203549,2.558882619469978,134.01171022200057,0.0071869567036628,1.2000199127197266,2.7822688510467004,40.42
Argentina,South America,2009,178.38,17278.76003425984,2.635454821812445,97.36454517818756,0.006367641400503957,0.007891207965588372,0.008860411928700795,2.612335560517652,145.0262763343196,0.0073619498871266,1.1428247833251952,2.878873123430155,40.85
